epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3158.28,1.12648,0.49541,1.09668,0.83215,0.99216,0.945,0.47052,1.68613,0.61227,1.31158,0.0003665,0.0003665,0.0003665
68,3206.96,1.12557,0.49408,1.09405,0.87972,1,0.96773,0.51354,1.56125,0.64206,1.2734,0.00034175,0.00034175,0.00034175
69,3254.99,1.11871,0.49026,1.09234,0.90903,0.99932,0.96773,0.53734,1.57963,0.5985,1.24149,0.000317,0.000317,0.000317
70,3303.74,1.11967,0.49366,1.09375,0.89779,1,0.97682,0.54237,1.53794,0.5856,1.23835,0.00029225,0.00029225,0.00029225
71,3344.04,0.94957,0.36927,1.01903,0.90828,0.99105,0.97682,0.51009,1.63424,0.59797,1.23555,0.0002675,0.0002675,0.0002675
72,3384.39,0.93231,0.36392,1.01436,0.78759,0.9,0.93006,0.48476,1.68096,0.6357,1.26819,0.00024275,0.00024275,0.00024275
73,3424.27,0.92626,0.36027,1.00971,0.88873,1,0.96773,0.51644,1.63424,0.60846,1.25042,0.000218,0.000218,0.000218
74,3464.62,0.91621,0.35929,1.00756,0.89455,1,0.96773,0.51352,1.61796,0.60785,1.24654,0.00019325,0.00019325,0.00019325
75,3504.9,0.91315,0.35605,1.00575,0.90567,0.96235,0.96773,0.51534,1.60417,0.61438,1.22927,0.0001685,0.0001685,0.0001685
76,3545.09,0.90933,0.35567,1.00361,0.88182,1,0.96773,0.49554,1.69332,0.61051,1.25681,0.00014375,0.00014375,0.00014375
77,3585.44,0.9049,0.35409,1.00127,0.81632,1,0.96833,0.50734,1.64093,0.60319,1.22921,0.000119,0.000119,0.000119
78,3625.8,0.9004,0.35047,1.00161,0.8329,0.99712,0.96833,0.52262,1.63418,0.60936,1.24082,9.425e-05,9.425e-05,9.425e-05
79,3666.5,0.89738,0.35118,0.99888,0.8974,0.87657,0.96192,0.51156,1.61164,0.58729,1.23322,6.95e-05,6.95e-05,6.95e-05
80,3706.85,0.89182,0.34945,0.99901,0.82432,0.94051,0.96833,0.51753,1.62824,0.57953,1.23617,4.475e-05,4.475e-05,4.475e-05
